Name,North/South,East/West,Gender,Units,Tenants,Bed,Bath,Contracts,FW Dep,Nonref FW,Private FW,Shared FW,SS Dep,SS NonRef,SS Private,SS Shared,,,
Hampstead,600,655,F,1,4,2,2,,$200.00 ,$30.00 ,,$275.00 ,$20.00 ,$30.00 ,,$162.50 ,,,
Hampstead Condo,600,655,F,1,4,2,2,,$250.00 ,$27.00 ,,$285.00 ,$120.00 ,$27.00 ,,$175.00 ,,,
Hampstead Condo,600,655,F,1,4,2,2,,$280.00 ,,,$280.00 ,$180.00 ,,,$180.00 ,,,
Hampstead Condo,600,655,F,1,4,2,2,,$200.00 ,,,$275.00 ,$200.00 ,,,$185.00 ,,,
Hampton Court,659,700,F,1,4,2,2,,$200.00 ,$30.00 ,,$282.50 ,$200.00 ,$30.00 ,,$175.00 ,,,
Hampton Court,659,700,F,1,4,2,2,,$250.00 ,$20.00 ,,$298.00 ,$250.00 ,$20.00 ,,$198.00 ,,,
Heather Heights,880,-71,F,12,3,2,1,,$200.00 ,$25.00 ,$310.00 ,$275.00 ,$200.00 ,$25.00 ,$210.00 ,$175.00 ,,,
Jamestown,728,800,M,1,4,2,2,,$200.00 ,$60.00 ,,$285.00 ,$200.00 ,$30.00 ,,$150.00 ,,,
Jamestown,782,800,M,1,4,2,2,,$200.00 ,$40.00 ,,$317.50 ,$200.00 ,$40.00 ,,$182.50 ,,,
Jamestown,782,800,M,1,4,2,2,,$250.00 ,$20.00 ,,$300.00 ,$250.00 ,$20.00 ,,$200.00 ,,,
Kennsington II,725,800,F,1,4,2,2,,$200.00 ,$30.00 ,,$295.00 ,$200.00 ,$30.00 ,,$177.50 ,,,
Kensington,750,788,M F,24,4,2,2,,$250.00 ,$20.00 ,,$300.00 ,$250.00 ,$20.00 ,,$200.00 ,,,
Kensington Condo,750,788,M,1,4,2,2,,$250.00 ,$27.00 ,,$295.00 ,$100.00 ,$27.00 ,,$285.00 ,,,
La Jolla,947,0,F,12,3,2,2,,$200.00 ,$30.00 ,$340.00 ,$290.00 ,$200.00 ,$30.00 ,$215.00 ,$165.00 ,,,
Lake Ridge,-1400,-430,M F,96,3,3,2,,$250.00 ,$25.00 ,$250.00 ,,$230.00 ,$25.00 ,$200.00 ,,,,
Lanai,700,852,M,1,4,4,2,,$200.00 ,$40.00 ,$350.00 ,,$200.00 ,$40.00 ,$350.00 ,,,,
Manavu Condos,858,400,M,12,4,4,2,,$300.00 ,$50.00 ,,$310.00 ,$200.00 ,$50.00 ,,$130.00 ,,,
Middle Cambridge,750,737,F,12,4,2,2,,$250.00 ,$20.00 ,,$300.00 ,$250.00 ,$20.00 ,,$200.00 ,,,
Millrace,2230,-225,M F,30,4,4,3,,$250.00 ,$30.00 ,$325.00 ,,$250.00 ,$30.00 ,$225.00 ,,,,
Millrace North,2230,-221,M,4,3,3,4,,$250.00 ,$30.00 ,$325.00 ,,$250.00 ,$30.00 ,$200.00 ,,,,
Mountainwood,700,-36,M F,36,4,2,2,,$250.00 ,$20.00 ,,$280.00 ,$250.00 ,$20.00 ,$180.00 ,,,,
Mountainwood Condo,700,-62,F,1,4,3,3,,$250.00 ,$27.00 ,$295.00 ,$275.00 ,$100.00 ,$27.00 ,$175.00 ,$155.00 ,,,
Mountainwood Condo,700,-54,M,1,4,2,2,,$200.00 ,$40.00 ,,$277.50 ,$200.00 ,$40.00 ,,$197.50 ,,,
Mt. Vista,350,879,M,9,4,4,3,,$250.00 ,$30.00 ,$320.00 ,,$250.00 ,$30.00 ,$220.00 ,,,,
Newport,567,200,F,10,2,2,2,,$250.00 ,$35.00 ,$350.00 ,,$250.00 ,$35.00 ,$250.00 ,,,,
North Downs,700,686,F,1,3,3,2,,$250.00 ,$25.00 ,$300.00 ,,$250.00 ,$25.00 ,$200.00 ,,,,
Oak Pointe,373,700,F,1,4,3,3,,$200.00 ,$25.00 ,$300.00 ,$265.00 ,$200.00 ,$25.00 ,$195.00 ,$165.00 ,,,
Old Mill,1720,-723,M F,1,4,4,4,,,,$279.00 ,,,,$195.00 ,,,,
Old Mill,1720,-728,M,1,4,4,4,,,,$279.00 ,,,,$195.00 ,,,,
Old Mill,1720,-724,F,1,4,4,4,,$250.00 ,$25.00 ,$285.00 ,,$150.00 ,$25.00 ,$185.00 ,,,,
Old Mill,1720,-718,F,1,4,4,4,,$200.00 ,,$295.00 ,,$200.00 ,,$195.00 ,,,,
Old Mill Condo,1720,-726,F,1,4,4,4,,$200.00 ,,$265.00 ,,$200.00 ,,$200.00 ,,,,
Old Mill Condo,1720,-718,M F,3,4,4,4,,,,$300.00 ,,,,$200.00 ,,,,
Old Mill Condos,1720,-724,M,1,4,4,4,,$200.00 ,$60.00 ,$290.00 ,,$200.00 ,$30.00 ,$150.00 ,,,,
Pinecrest Condo,432,500,M,4,2,2,4,,$250.00 ,$27.00 ,,$295.00 ,$150.00 ,$27.00 ,,$175.00 ,,,
Presidio,432,500,F,10,3,2,1,,$200.00 ,$30.00 ,$315.00 ,$265.00 ,$200.00 ,$30.00 ,$175.00 ,$150.00 ,,,
Presidio,515,200,F,1,3,2,2,,$200.00 ,$20.00 ,$310.00 ,$275.00 ,$200.00 ,$20.00 ,$210.00 ,$175.00 ,,,
Promenade,824.5,900,M F,1,4,3.5,2.5,,$200.00 ,$30.00 ,$325.00 ,$330.00 ,$200.00 ,$30.00 ,$220.00 ,$180.00 ,,,
Promenade,820,888,F,24,4,3,2.5,,$250.00 ,$30.00 ,$335.00 ,$305.00 ,$250.00 ,$30.00 ,$235.00 ,$205.00 ,,,
Promenade,820,900,M F,20,4,4,3,,$200.00 ,$40.00 ,$337.50 ,,$200.00 ,$40.00 ,$237.50 ,,,,
Quicksilver,602,800,F,9,3,2,1,,$250.00 ,$25.00 ,$330.00 ,$280.00 ,$250.00 ,$25.00 ,$230.00 ,$180.00 ,,,
Richardson House,740,500,F,1,6,6,2,,$250.00 ,$25.00 ,$325.00 ,,$250.00 ,$25.00 ,$250.00 ,,,,
Riverside,1500,-550,M F,1,3,3,2,,$250.00 ,$25.00 ,$275.00 ,,$250.00 ,$25.00 ,$175.00 ,,,,
Riverside,1542,-550,F,1,3,3,2,,$200.00 ,$30.00 ,$305.00 ,,$200.00 ,$30.00 ,$185.00 ,,,,
Riverside Condos,1541,-550,F,1,3,3,2,,$300.00 ,$50.00 ,$307.50 ,,$115.00 ,$25.00 ,$115.00 ,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
